Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID10	ID11	ID13	ID15	ID16	ID17	ID18	ID19	ID20	ID21
TCGA-FS-A4FB	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A4FC	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A4FD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
TCGA-FW-A3I3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FW-A3R5	0	0	5	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0
TCGA-FW-A3TU	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-FW-A3TV	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-GF-A3OT	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-GF-A4EO	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
TCGA-GF-A6C8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-GF-A6C9	2	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0
TCGA-GN-A262	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-GN-A264	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
TCGA-GN-A265	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-GN-A266	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GN-A267	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0
TCGA-GN-A268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GN-A26A	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
TCGA-GN-A26D	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
